timestamp,segment,distance_desc,distance_cm
1787717611.924,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,30.5
1787717612.124,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,30.5
1787717612.324,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,30.5
1787717612.525,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,30.0
1787717612.725,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,30.0
1787717612.925,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,29.9
1787717613.126,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,29.9
1787717613.326,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,29.1
1787717613.527,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,28.5
1787717613.727,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,26.8
1787717613.927,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,26.4
1787717614.128,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,26.4
1787717614.328,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,26.2
1787717614.529,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,26.1
1787717614.729,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,26.2
1787717614.930,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,26.4
1787717615.130,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,26.4
1787717615.331,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,26.4
1787717615.531,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,24.7
1787717615.731,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,20.3
1787717615.932,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,18.0
1787717616.132,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.0
1787717616.333,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.0
1787717616.533,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,16.6
1787717616.734,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,16.6
1787717616.934,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.0
1787717617.134,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.0
1787717617.335,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.0
1787717617.535,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.3
1787717617.736,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.0
1787717617.936,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.0
1787717618.136,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.0
1787717618.337,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.3
1787717618.537,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.9
1787717618.738,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,18.5
1787717618.938,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,18.6
1787717619.138,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,18.6
1787717619.339,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.3
1787717619.539,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,16.6
1787717619.739,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,16.6
1787717619.940,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,16.9
1787717620.140,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,16.3
1787717620.341,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,16.3
1787717620.541,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.0
1787717620.741,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.0
1787717620.942,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,17.0
1787717621.142,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,18.0
1787717634.653,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,52.1
1787717634.854,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,52.6
1787717635.054,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,52.8
1787717635.255,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,53.0
